time,elapsed,test_type,phase,axis,direction,target_speed,cmd_vx,cmd_wz,fb_vx,fb_vy,fb_wz
1782644410.6894896,0.6001698970794678,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.7294424,0.640122652053833,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.769492,0.6801722049713135,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.8095787,0.7202589511871338,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.8494747,0.7601549625396729,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.889481,0.8001613616943359,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.9294891,0.8401694297790527,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644410.9694524,0.8801326751708984,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.0094364,0.920116662979126,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.0494561,0.9601364135742188,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.089474,1.0001542568206787,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.1294854,1.040165662765503,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.1694918,1.080172061920166,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.209489,1.1201694011688232,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.249478,1.160158395767212,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.2896209,1.200301170349121,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.3294315,1.2401118278503418,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.369453,1.2801332473754883,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.4094963,1.320176601409912,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.449482,1.3601622581481934,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.489492,1.400172233581543,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.529507,1.4401872158050537,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.5694952,1.480175495147705,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.611803,1.5224833488464355,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.649455,1.5601353645324707,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.6894522,1.6001324653625488,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.7294996,1.6401798725128174,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.7694423,1.6801226139068604,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.8094842,1.7201645374298096,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.8494773,1.760157585144043,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.8894582,1.8001384735107422,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.929483,1.840163230895996,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644411.969461,1.880141258239746,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644412.0094779,1.9201581478118896,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644412.0494998,1.9601800441741943,breakaway,target_from_rest,vx,1,0.015,0.015,0.0,0.0,0.0,0.0
1782644414.6975458,4.291534423828125e-06,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644414.7376359,0.04009437561035156,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644414.7777164,0.08017492294311523,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644414.817676,0.12013459205627441,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644414.8576982,0.1601567268371582,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644414.8976433,0.2001018524169922,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644414.93773,0.2401885986328125,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644414.9776878,0.28014636039733887,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.0177095,0.32016801834106445,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
