[INFO] [1783321112.563961346] [foxglove_click_goal_bridge]: Foxglove click goal bridge started.
[INFO] [1783321112.568133177] [foxglove_click_goal_bridge]: Listening point click topic:
[INFO] [1783321112.571407884] [foxglove_click_goal_bridge]:   /foxglove_goal_point
[INFO] [1783321112.574772674] [foxglove_click_goal_bridge]:   geometry_msgs/msg/PointStamped
[INFO] [1783321112.577883548] [foxglove_click_goal_bridge]: Listening pose click topic:
[INFO] [1783321112.581048505] [foxglove_click_goal_bridge]:   /foxglove_goal_pose
[INFO] [1783321112.584414795] [foxglove_click_goal_bridge]:   geometry_msgs/msg/PoseStamped
[INFO] [1783321112.587345544] [foxglove_click_goal_bridge]: Recommended Foxglove tool:
[INFO] [1783321112.590761001] [foxglove_click_goal_bridge]:   Publish -> 2D point -> /foxglove_goal_point
[INFO] [1783321112.594200333] [foxglove_click_goal_bridge]: Visual path topic: /foxglove_click_planned_path
[INFO] [1783321112.597515123] [foxglove_click_goal_bridge]: Visual trajectory: /foxglove_click_trajectory_dots (red dots)
[INFO] [1783321112.600809955] [foxglove_click_goal_bridge]: Visual start marker: /foxglove_click_start_marker
[INFO] [1783321112.604113829] [foxglove_click_goal_bridge]: Visual goal marker: /foxglove_click_goal_marker + /foxglove_click_goal_label
[INFO] [1783321112.607160202] [foxglove_click_goal_bridge]: Foxglove map viz: /foxglove_map_viz (use in 3D panel instead of /map)
[INFO] [1783321114.237979584] [foxglove_click_goal_bridge]: >>> CLICK READY: Foxglove 可以单击地图白色区域发送导航目标。 Topic=/foxglove_goal_point, frame=map。 若 scan 与地图错位，请先用 /initialpose 校正。导航进行中会忽略新点击。
[INFO] [1783321287.702767591] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321289.709412508] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321291.713626665] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321293.712695685] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321295.730194044] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321297.738335930] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321299.754005606] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=5
[INFO] [1783321301.760043974] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321303.772430798] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321305.801354627] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321307.808407347] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321309.818336021] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321311.843764156] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321313.854970607] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321315.869843552] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321317.874140690] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321319.873923650] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321321.910590672] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321323.929900048] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321325.948529791] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321327.948625513] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321329.967975325] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321331.968442032] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321333.969180733] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321335.989105939] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321337.989115082] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321340.009331774] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321342.008520277] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321344.027607370] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321346.028322234] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=8
[INFO] [1783321348.048503147] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=9
[INFO] [1783321350.071803971] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=9
[INFO] [1783321352.089650534] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=9
[INFO] [1783321354.108520174] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=9
