[INFO] [1781017158.367980794] [cmd_vel_to_rosmaster]: Initializing Rosmaster...
[INFO] [1781017158.370397716] [cmd_vel_to_rosmaster]: Serial port: /dev/ttyUSB0
[INFO] [1781017158.942783580] [cmd_vel_to_rosmaster]: cmd_vel_to_rosmaster started.
[INFO] [1781017158.945004876] [cmd_vel_to_rosmaster]: Subscribed topic: /cmd_vel
[INFO] [1781017158.947853757] [cmd_vel_to_rosmaster]: linear.y is ignored in this stage.
[INFO] [1781017158.949937678] [cmd_vel_to_rosmaster]: Safety limits: max_vx=0.100 m/s, max_wz=0.200 rad/s
[INFO] [1781017158.952010974] [cmd_vel_to_rosmaster]: Kick start: enable=True, kick_vx=0.110, kick_duration=0.220s, min_drive_vx=0.010, kick_max_wz=0.120, kick_cooldown=1.000s
[INFO] [1781017166.233632964] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.016 => send: vx=0.010, vy=0.000, wz=0.016, kick=False
[INFO] [1781017166.269976581] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.015 => send: vx=0.010, vy=0.000, wz=0.015, kick=False
[INFO] [1781017166.307361159] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.013 => send: vx=0.010, vy=0.000, wz=0.013, kick=False
[INFO] [1781017166.342460274] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.012 => send: vx=0.010, vy=0.000, wz=0.012, kick=False
[INFO] [1781017166.381183104] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.011 => send: vx=0.010, vy=0.000, wz=0.011, kick=False
[INFO] [1781017166.415869510] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.008 => send: vx=0.010, vy=0.000, wz=0.008, kick=False
[INFO] [1781017166.452555670] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.006 => send: vx=0.010, vy=0.000, wz=0.006, kick=False
[INFO] [1781017166.486742241] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.002 => send: vx=0.010, vy=0.000, wz=0.002, kick=False
[INFO] [1781017166.551023708] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=-0.002 => send: vx=0.010, vy=0.000, wz=-0.002, kick=False
[INFO] [1781017166.589475163] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=-0.005 => send: vx=0.010, vy=0.000, wz=-0.005, kick=False
[INFO] [1781017166.627763201] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=-0.012 => send: vx=0.010, vy=0.000, wz=-0.012, kick=False
[INFO] [1781017166.663712860] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=-0.015 => send: vx=0.010, vy=0.000, wz=-0.015, kick=False
[INFO] [1781017166.700621270] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=-0.020 => send: vx=0.010, vy=0.000, wz=-0.020, kick=False
