[INFO] [1781876541.837072963] [cmd_vel_to_rosmaster]: Initializing Rosmaster...
[INFO] [1781876541.840794962] [cmd_vel_to_rosmaster]: Serial port: /dev/ttyUSB1
[INFO] [1781876542.418736467] [cmd_vel_to_rosmaster]: cmd_vel_to_rosmaster started.
[INFO] [1781876542.422018258] [cmd_vel_to_rosmaster]: Subscribed topic: /cmd_vel
[INFO] [1781876578.422304037] [cmd_vel_to_rosmaster]: status: battery=10.1, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.004, wz=0.000)
[INFO] [1781876578.523900884] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876578.698421168] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876578.770252023] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876578.876176826] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876578.990180669] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876579.066596189] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876579.193163571] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876579.277352422] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876579.380535810] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876579.531161726] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876579.700664886] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876579.817248895] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876579.978861516] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876580.114541936] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876580.228471446] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876580.335848874] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876580.421544559] [cmd_vel_to_rosmaster]: status: battery=10.1, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.004, wz=0.000)
[INFO] [1781876580.473679627] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876580.601123758] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876580.677701403] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876580.824563195] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
