[INFO] [1782905588.662194507] [simple_scan_filter]: filter /scan -> /scan_filtered, keep=[0.18, 4.00], isolated_window=2, isolated_delta=0.25, min_support_neighbors=1
[INFO] [1782906256.592712695] [simple_scan_filter]: scan stats: n=404, zeros=114, nan=0, inf=0, finite_raw=290, finite_out=249, removed_isolated=6
[INFO] [1782906261.590082594] [simple_scan_filter]: scan stats: n=404, zeros=111, nan=0, inf=0, finite_raw=293, finite_out=256, removed_isolated=3
[INFO] [1782906266.588479113] [simple_scan_filter]: scan stats: n=404, zeros=116, nan=0, inf=0, finite_raw=288, finite_out=241, removed_isolated=5
[INFO] [1782906271.575205472] [simple_scan_filter]: scan stats: n=404, zeros=111, nan=0, inf=0, finite_raw=293, finite_out=252, removed_isolated=6
[INFO] [1782906276.570482738] [simple_scan_filter]: scan stats: n=404, zeros=112, nan=0, inf=0, finite_raw=292, finite_out=250, removed_isolated=6
[INFO] [1782906281.568955163] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=248, removed_isolated=4
[INFO] [1782906286.564268130] [simple_scan_filter]: scan stats: n=404, zeros=115, nan=0, inf=0, finite_raw=289, finite_out=247, removed_isolated=6
[INFO] [1782906291.556159972] [simple_scan_filter]: scan stats: n=404, zeros=109, nan=0, inf=0, finite_raw=295, finite_out=256, removed_isolated=4
[INFO] [1782906296.548772351] [simple_scan_filter]: scan stats: n=404, zeros=116, nan=0, inf=0, finite_raw=288, finite_out=245, removed_isolated=6
[INFO] [1782906301.541268644] [simple_scan_filter]: scan stats: n=404, zeros=108, nan=0, inf=0, finite_raw=296, finite_out=257, removed_isolated=5
[INFO] [1782906306.536450140] [simple_scan_filter]: scan stats: n=404, zeros=111, nan=0, inf=0, finite_raw=293, finite_out=250, removed_isolated=6
[INFO] [1782906311.534447129] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=244, removed_isolated=7
[INFO] [1782906316.532545532] [simple_scan_filter]: scan stats: n=404, zeros=115, nan=0, inf=0, finite_raw=289, finite_out=249, removed_isolated=6
[INFO] [1782906321.521980231] [simple_scan_filter]: scan stats: n=404, zeros=119, nan=0, inf=0, finite_raw=285, finite_out=241, removed_isolated=6
[INFO] [1782906326.515953215] [simple_scan_filter]: scan stats: n=404, zeros=123, nan=0, inf=0, finite_raw=281, finite_out=242, removed_isolated=4
[INFO] [1782906331.510128236] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=248, removed_isolated=4
[INFO] [1782906336.506261961] [simple_scan_filter]: scan stats: n=404, zeros=115, nan=0, inf=0, finite_raw=289, finite_out=246, removed_isolated=6
[INFO] [1782906341.499952185] [simple_scan_filter]: scan stats: n=404, zeros=115, nan=0, inf=0, finite_raw=289, finite_out=249, removed_isolated=4
[INFO] [1782906346.496229362] [simple_scan_filter]: scan stats: n=404, zeros=112, nan=0, inf=0, finite_raw=292, finite_out=250, removed_isolated=5
[INFO] [1782906351.490324912] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=242, removed_isolated=6
[INFO] [1782906356.483069294] [simple_scan_filter]: scan stats: n=404, zeros=118, nan=0, inf=0, finite_raw=286, finite_out=249, removed_isolated=5
[INFO] [1782906361.478950127] [simple_scan_filter]: scan stats: n=404, zeros=121, nan=0, inf=0, finite_raw=283, finite_out=239, removed_isolated=4
[INFO] [1782906366.476844373] [simple_scan_filter]: scan stats: n=404, zeros=109, nan=0, inf=0, finite_raw=295, finite_out=250, removed_isolated=4
[INFO] [1782906371.474339657] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=251, removed_isolated=5
[INFO] [1782906376.472295396] [simple_scan_filter]: scan stats: n=404, zeros=118, nan=0, inf=0, finite_raw=286, finite_out=243, removed_isolated=7
[INFO] [1782906381.462555014] [simple_scan_filter]: scan stats: n=404, zeros=114, nan=0, inf=0, finite_raw=290, finite_out=249, removed_isolated=4
[INFO] [1782906386.449640966] [simple_scan_filter]: scan stats: n=404, zeros=120, nan=0, inf=0, finite_raw=284, finite_out=243, removed_isolated=6
[INFO] [1782906391.445151656] [simple_scan_filter]: scan stats: n=404, zeros=116, nan=0, inf=0, finite_raw=288, finite_out=255, removed_isolated=3
[INFO] [1782906396.437272346] [simple_scan_filter]: scan stats: n=404, zeros=115, nan=0, inf=0, finite_raw=289, finite_out=253, removed_isolated=3
[INFO] [1782906401.443805894] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=254, removed_isolated=4
[INFO] [1782906406.434456788] [simple_scan_filter]: scan stats: n=404, zeros=111, nan=0, inf=0, finite_raw=293, finite_out=250, removed_isolated=4
[INFO] [1782906411.424661804] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=251, removed_isolated=6
[INFO] [1782906416.419992895] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=246, removed_isolated=5
[INFO] [1782906421.412528527] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=244, removed_isolated=5
[INFO] [1782906426.407677779] [simple_scan_filter]: scan stats: n=404, zeros=119, nan=0, inf=0, finite_raw=285, finite_out=241, removed_isolated=6
[INFO] [1782906431.403991318] [simple_scan_filter]: scan stats: n=404, zeros=115, nan=0, inf=0, finite_raw=289, finite_out=247, removed_isolated=5
[INFO] [1782906436.396792274] [simple_scan_filter]: scan stats: n=404, zeros=122, nan=0, inf=0, finite_raw=282, finite_out=248, removed_isolated=5
